date,city_pm25,respiratory_admissions,seasonal_effect,post_ulez
2018-01-01,17.4,24,24.711000518829504,FALSE
2018-01-02,15.84,33,24.75064532257195,FALSE
2018-01-03,14.815000000000001,20,24.78740079966915,FALSE
2018-01-04,18.0275,16,24.821256058680007,FALSE
2018-01-05,16.05,16,24.852201067560607,FALSE
2018-01-06,13.5175,23,24.880226656636978,FALSE
2018-01-07,16.375,36,24.90532452132223,FALSE
2018-01-08,17.705,40,24.9274872245774,FALSE
2018-01-09,18.3875,21,24.94670819911521,FALSE
2018-01-10,15.4375,31,24.962981749346078,FALSE
2018-01-11,18.82,50,24.976303053065855,FALSE
2018-01-12,18.3375,23,24.98666816288476,FALSE
2018-01-13,14.165000000000001,23,24.994074007397046,FALSE
2018-01-14,16.73,32,24.998518392091164,FALSE
2018-01-15,17.794999999999998,24,25,FALSE
2018-01-16,18.2525,21,24.998518392091164,FALSE
2018-01-17,19.8475,43,24.994074007397046,FALSE
2018-01-18,15.51,12,24.98666816288476,FALSE
2018-01-19,22.439999999999998,29,24.976303053065855,FALSE
2018-01-20,14.915,31,24.962981749346078,FALSE
2018-01-21,14.2375,26,24.94670819911521,FALSE
2018-01-22,17.9125,48,24.9274872245774,FALSE
2018-01-23,16.335,27,24.90532452132223,FALSE
2018-01-24,17.845,52,24.880226656636978,FALSE
2018-01-25,17.25,31,24.852201067560607,FALSE
2018-01-26,14.83,34,24.821256058680007,FALSE
2018-01-27,13.012500000000001,31,24.78740079966915,FALSE
2018-01-28,16.66,18,24.75064532257195,FALSE
2018-01-29,18.04,24,24.711000518829504,FALSE
2018-01-30,17.585,22,24.668478136052777,FALSE
2018-01-31,18.1525,17,24.623090774541488,FALSE
2018-02-01,18.5475,31,24.574851883550394,FALSE
2018-02-02,17.1825,16,24.523775757303973,FALSE
2018-02-03,15.3,25,24.469877530760755,FALSE
2018-02-04,14.625,31,24.41317317512847,FALSE
2018-02-05,16.085,40,24.35367949313148,FALSE
2018-02-06,21.535,18,24.291414114031745,FALSE
2018-02-07,17.1025,16,24.226395488404876,FALSE
2018-02-08,18.515,18,24.158642882672872,FALSE
2018-02-09,18.8825,34,24.08817637339503,FALSE
2018-02-10,16.2875,39,24.01501684131884,FALSE
2018-02-11,13.8025,36,23.93918596519257,FALSE
2018-02-12,15.31,38,23.86070621534138,FALSE
2018-02-13,18.3125,13,23.77960084700888,FALSE
2018-02-14,19.75,29,23.69589389346611,FALSE
2018-02-15,16.65,21,23.609610158889943,FALSE
2018-02-16,18.7425,38,23.520775211013095,FALSE
2018-02-17,12.3125,17,23.429415373547826,FALSE
2018-02-18,16.7375,34,23.3355577183857,FALSE
2018-02-19,16.4125,33,23.23923005757554,FALSE
2018-02-20,16.22,40,23.140460935082178,FALSE
2018-02-21,17.044999999999998,16,23.039279618328216,FALSE
2018-02-22,14.265,25,22.935716089521474,FALSE
2018-02-23,14.71,16,22.82980103677063,FALSE
2018-02-24,15.0925,17,22.721565844991645,FALSE
2018-02-25,14.875,20,22.611042586607745,FALSE
2018-02-26,16.735,22,22.498264012045688,FALSE
2018-02-27,15.1075,43,22.383263540031066,FALSE
2018-02-28,15.67,43,22.266075247685656,FALSE
2018-03-01,14.4475,26,22.14673386042961,FALSE
2018-03-02,16.865,25,22.02527474169157,FALSE
2018-03-03,12.3025,15,21.901733882429717,FALSE
2018-03-04,15.15,24,21.776147890466888,FALSE
2018-03-05,16.36,24,21.648553979642866,FALSE
2018-03-06,17.3775,25,21.518989958787124,FALSE
2018-03-07,16.215,21,21.387494220515272,FALSE
2018-03-08,14.7225,16,21.254105729852462,FALSE
2018-03-09,15.7225,29,21.118864012687244,FALSE
2018-03-10,11.68,21,20.981809144059163,FALSE
2018-03-11,13.5275,14,20.842981736283683,FALSE
2018-03-12,16.314999999999998,25,20.70242292691787,FALSE
